pmid,gene,doi,title,abstract,year,keywords,pubmed_count
NA,AMBP,NA,NA,NA,NA,NA,0
35993362,FRY,10.1172/jci.insight.155218,Inactivation of Hippo pathway characterizes a poor-prognosis subtype of esophageal cancer.,"Identification of molecular subtypes that reflect different prognoses and treatment responses, especially immune checkpoint inhibitors (ICIs) in esophageal squamous cell carcinoma (ESCC), is essential for treatment decisions. We performed targeted sequencing in 201 patients with ESCC to discover genetic subtypes and validate our findings via multiple data sets. We identified 3 driver genes (FCGBP, GRIN2B, and FRY), and recurrent truncating mutations in FRY impaired its tumor-suppressive function and promoted tumor proliferation. A 3-gene mutation signature (FAT1, FAT3, and FRY) recognized a molecular subtype named ""FAT/FRY"" with frequent Hippo pathway-related mutations. In multiple ESCC cohorts, the patients with the FAT/FRY subtype had poorer prognosis than did patients in the WT group. Transcriptome analysis indicated that the FAT/FRY subtype was characterized by inactivation of the Hippo pathway, hypoxia, chemoresistance, higher infiltration of CD8+ T cells and activated DCs, and a transcriptome similar to that of cancer responders. Furthermore, the 3-gene signature predicted better survival for patients treated with ICIs, partially explained by its positive correlation with the tumor mutation burden and neoantigen burden. The 3-gene signature is a biomarker to recognize the FAT/FRY molecular subtype, evaluate prognosis, and select potential beneficiaries of ICIs in ESCC.",2022,"Bioinformatics; Cancer; Gastroenterology; Oncology; Esophageal Neoplasms; Esophageal Squamous Cell Carcinoma; Gene Expression Regulation, Neoplastic; Hippo Signaling Pathway; Humans; Prognosis",5
30236235,FRY,10.1016/j.bja.2018.07.002,Cancelled operations: a 7-day cohort study of planned adult inpatient surgery in 245 UK National Health Service hospitals.,"Cancellation of planned surgery impacts substantially on patients and health systems. This study describes the incidence and reasons for cancellation of inpatient surgery in the UK NHS. We conducted a prospective observational cohort study over 7 consecutive days in March 2017 in 245 NHS hospitals. Occurrences and reasons for previous surgical cancellations were recorded. Using multilevel logistic regression, we identified patient- and hospital-level factors associated with cancellation due to inadequate bed capacity. We analysed data from 14 936 patients undergoing planned surgery. A total of 1499 patients (10.0%) reported previous cancellation for the same procedure; contemporaneous hospital census data indicated that 13.9% patients attending inpatient operations were cancelled on the day of surgery. Non-clinical reasons, predominantly inadequate bed capacity, accounted for a large proportion of previous cancellations. Independent risk factors for cancellation due to inadequate bed capacity included requirement for postoperative critical care [odds ratio (OR)=2.92; 95% confidence interval (CI), 2.12-4.02; P&lt;0.001] and the presence of an emergency department in the treating hospital (OR=4.18; 95% CI, 2.22-7.89; P&lt;0.001). Patients undergoing cancer surgery (OR=0.32; 95% CI, 0.22-0.46; P&lt;0.001), obstetric procedures (OR=0.17; 95% CI, 0.08-0.32; P&lt;0.001), and expedited surgery (OR=0.39; 95% CI, 0.27-0.56; P&lt;0.001) were less likely to be cancelled. A significant proportion of patients presenting for surgery have experienced a previous cancellation for the same procedure. Cancer surgery is relatively protected, but bed capacity, including postoperative critical care requirements, are significant risk factors for previous cancellations.",2019,"Health Services Research; medical resource utilisation; operating room management; surgery; Adolescent; Adult; Aged; Aged, 80 and over; Cohort Studies; Emergency Service, Hospital; Female; General Surgery; Health Facility Size; Hospital Bed Capacity; Humans; Incidence; Middle Aged; Models, Statistical; Neoplasms; Obstetrics; Postoperative Care; Pregnancy; Prospective Studies; Risk Factors; State Medicine; United Kingdom; Young Adult",5
28481871,FRY,10.1038/onc.2017.126,Suppression of planar cell polarity signaling and migration in glioblastoma by Nrdp1-mediated Dvl polyubiquitination.,"The lethality of the aggressive brain tumor glioblastoma multiforme (GBM) results in part from its strong propensity to invade surrounding normal brain tissue. Although oncogenic drivers such as epidermal growth factor receptor activation and Phosphatase and Tensin homolog inactivation are thought to promote the motility and invasiveness of GBM cells via phosphatidylinostitol 3-kinase activation, other unexplored mechanisms may also contribute to malignancy. Here we demonstrate that several components of the planar cell polarity (PCP) arm of non-canonical Wnt signaling including VANGL1, VANGL2 and FZD7 are transcriptionally upregulated in glioma and correlate with poorer patient outcome. Knockdown of the core PCP pathway component VANGL1 suppresses the motility of GBM cell lines, pointing to an important mechanistic role for this pathway in glioblastoma malignancy. We further observe that restoration of Nrdp1, a RING finger type E3 ubiquitin ligase whose suppression in GBM also correlates with poor prognosis, reduces GBM cell migration and invasiveness by suppressing PCP signaling. Our observations indicate that Nrdp1 physically interacts with the Vangl1 and Vangl2 proteins to mediate the K63-linked polyubiquitination of the Dishevelled, Egl-10 and Pleckstrin (DEP) domain of the Wnt pathway protein Dishevelled (Dvl). Ubiquitination hinders Dvl binding to phosphatidic acid, an interaction necessary for efficient Dvl recruitment to the plasma membrane upon Wnt stimulation of Fzd receptor and for the propagation of downstream signals. We conclude that the PCP pathway contributes significantly to the motility and hence the invasiveness of GBM cells, and that Nrdp1 acts as a negative regulator of PCP signaling by inhibiting Dvl through a novel polyubiquitination mechanism. We propose that the upregulation of core PCP components, together with the loss of the key negative regulator Nrdp1, act coordinately to promote GBM invasiveness and malignancy.",2017,"Carrier Proteins; Cell Line, Tumor; Cell Polarity; Cells, Cultured; Dishevelled Proteins; Glioblastoma; HEK293 Cells; Humans; Intracellular Signaling Peptides and Proteins; Membrane Proteins; Polyubiquitin; Ubiquitin-Protein Ligases; Ubiquitination; Wnt Proteins",5
27460500,FRY,10.1038/ncomms12320,CD19 CAR immune pressure induces B-precursor acute lymphoblastic leukaemia lineage switch exposing inherent leukaemic plasticity.,"Adoptive immunotherapy using chimeric antigen receptor (CAR) expressing T cells targeting the CD19 B lineage receptor has demonstrated marked success in relapsed pre-B-cell acute lymphoblastic leukaemia (ALL). Persisting CAR-T cells generate sustained pressure against CD19 that may drive unique mechanisms of resistance. Pre-B ALL originates from a committed pre-B cell or an earlier progenitor, with potential to reprogram into other hematopoietic lineages. Here we report changes in lineage markers including myeloid conversion in patients following CD19 CAR therapy. Using murine ALL models we study the long-term effects of CD19 CAR-T cells and demonstrate partial or complete lineage switch as a consistent mechanism of CAR resistance depending on the underlying genetic oncogenic driver. Deletion of Pax5 or Ebf1 recapitulates lineage reprogramming occurring during CD19 CAR pressure. Our findings establish lineage switch as a mechanism of CAR resistance exposing inherent plasticity in genetic subtypes of pre-B-cell ALL.",2018,"Animals; Cell Line, Tumor; Cell Lineage; Cell Plasticity; Chromatin; Clone Cells; Epigenesis, Genetic; Gene Editing; Genome; Mice, Knockout; Myeloid Cells; Phenotype; Precursor B-Cell Lymphoblastic Leukemia-Lymphoma; Receptors, Antigen, T-Cell; Recurrence",5
26798964,FRY,10.1016/j.healthplace.2015.11.007,Multi-modal two-step floating catchment area analysis of primary health care accessibility.,"Two-step floating catchment area (2SFCA) techniques are popular for measuring potential geographical accessibility to health care services. This paper proposes methodological enhancements to increase the sophistication of the 2SFCA methodology by incorporating both public and private transport modes using dedicated network datasets. The proposed model yields separate accessibility scores for each modal group at each demand point to better reflect the differential accessibility levels experienced by each cohort. An empirical study of primary health care facilities in South Wales, UK, is used to illustrate the approach. Outcomes suggest the bus-riding cohort of each census tract experience much lower accessibility levels than those estimated by an undifferentiated (car-only) model. Car drivers' accessibility may also be misrepresented in an undifferentiated model because they potentially profit from the lower demand placed upon service provision points by bus riders. The ability to specify independent catchment sizes for each cohort in the multi-modal model allows aspects of preparedness to travel to be investigated.",2017,"Algorithms; Catchment Area, Health; Health Services Accessibility; Humans; Primary Health Care; Travel; Wales",5
35587601,HLA-DPB1,10.1089/thy.2022.0020,"T Cells Engineered to Express Immunoreceptors Targeting the Frequently Expressed Medullary Thyroid Cancer Antigens Calcitonin, CEA, and RET M918T.","<b><i>Background:</i></b> Medullary thyroid cancer (MTC) is a rare malignancy originating from the calcitonin-producing C cells of the thyroid. Despite recent therapeutic advances, metastatic MTC remains incurable. Adoptive cell therapy (ACT) using genetically engineered T cells targeting either tissue-restricted tumor-associated antigens or mutated neoantigens has led to durable remissions in other metastatic solid tumors. The majority of MTC express the tumor-associated antigens calcitonin and carcinoembryonic antigen (CEA), and &#x223c;40% of MTC harbor the RET M918T oncogenic driver mutation. <b><i>Methods:</i></b> We developed and characterized three immunoreceptors that recognize extracellular CEA, a calcitonin epitope presented by HLA-A*24:02, or an RET M918T neoepitope restricted by HLA-DPB1*04:01/02. The chimeric antigen receptor (CAR) targeting CEA was synthetically designed, while the T cell receptors (TCRs) targeting calcitonin and RET M918T were isolated from a transgenic mouse and patient with MTC, respectively. These immunoreceptors were genetically engineered into peripheral blood T cells and tested for antigen specificity and antitumor activity. <b><i>Results:</i></b> T cells expressing the anti-CEA CAR or the calcitonin-reactive TCR produced effector cytokines and displayed cytotoxicity against cell lines expressing their cognate antigen <i>in vitro</i>. In immunodeficient mice harboring a human MTC cell line, the adoptive transfer of T cells engineered to express the anti-CEA CAR or calcitonin-reactive TCR led to complete tumor regression. T cells expressing the HLA-DPB1*04:01/02-restricted TCR targeting RET M918T, which was cloned from peripheral blood CD4<sup>+</sup> T cells of a patient with MTC, demonstrated specific reactivity against cells pulsed with the mutated peptide and MTC tumor cells that expressed HLA-DPB1*04:01 and RET M918T. <b><i>Conclusion:</i></b> The preclinical data presented herein demonstrate the potential of using genetically engineered T cells targeting CEA, calcitonin, and/or RET M918T to treat metastatic MTC.",2022,"CEA CAR-T; RET M918T; adoptive cell therapy; calcitonin; medullary thyroid cancer; neoantigen; Animals; Calcitonin; Carcinoembryonic Antigen; Carcinoma, Neuroendocrine; Cell Engineering; Cell Line, Tumor; Epitopes, T-Lymphocyte; Humans; Mice; Mutation; Proto-Oncogene Proteins c-ret; Receptors, Antigen, T-Cell; T-Lymphocytes; Thyroid Neoplasms",1
36725887,GALNT7,10.1038/s41388-023-02604-x,Upregulation of GALNT7 in prostate cancer modifies O-glycosylation and promotes tumour growth.,"Prostate cancer is the most common cancer in men and it is estimated that over 350,000 men worldwide die of prostate cancer every year. There remains an unmet clinical need to improve how clinically significant prostate cancer is diagnosed and develop new treatments for advanced disease. Aberrant glycosylation is a hallmark of cancer implicated in tumour growth, metastasis, and immune evasion. One of the key drivers of aberrant glycosylation is the dysregulated expression of glycosylation enzymes within the cancer cell. Here, we demonstrate using multiple independent clinical cohorts that the glycosyltransferase enzyme GALNT7 is upregulated in prostate cancer tissue. We show GALNT7 can identify men with prostate cancer, using urine and blood samples, with improved diagnostic accuracy than serum PSA alone. We also show that GALNT7 levels remain high in progression to castrate-resistant disease, and using in vitro and in vivo models, reveal that GALNT7 promotes prostate tumour growth. Mechanistically, GALNT7 can modify O-glycosylation in prostate cancer cells and correlates with cell cycle and immune signalling pathways. Our study provides a new biomarker to aid the diagnosis of clinically significant disease and cements GALNT7-mediated O-glycosylation as an important driver of prostate cancer progression.",2023,Male; Humans; Up-Regulation; Glycosylation; Prostatic Neoplasms; Signal Transduction; Transcriptional Activation,2
32659970,GALNT7,10.3390/ijms21144856,<i>EIF4G1</i> and <i>RAN</i> as Possible Drivers for Malignant Pleural Mesothelioma.,"For malignant pleural mesothelioma (MPM) novel therapeutic strategies are urgently needed. In a previous study, we identified 51 putative cancer genes over-expressed in MPM tissues and cell lines. Here, we deepened the study on nine of them (<i>ASS1</i>, <i>EIF4G1</i>, <i>GALNT7</i>, <i>GLUT1</i>, <i>IGF2BP3</i> (<i>IMP3</i>), <i>ITGA4</i>, <i>RAN</i>, <i>SOD1</i>, and <i>THBS2</i>) to ascertain whether they are truly mesothelial cancer driver genes (CDGs) or genes overexpressed in an adaptive response to the tumoral progression (""passenger genes""). Through a fast siRNA-based screening, we evaluated the consequences of gene depletion on migration, proliferation, colony formation capabilities, and caspase activities of four MPM (Mero-14, Mero-25, IST-Mes2, and NCI-H28) and one SV40-immortalized mesothelial cell line (MeT-5A) as a non-malignant model. The depletion of <i>EIF4G1</i> and <i>RAN</i> significantly reduced cell proliferation and colony formation and increased caspase activity. In particular, the findings for RAN resemble those observed for other types of cancer. Thus, we evaluated the in vitro effects of importazole (IPZ), a small molecule inhibitor of the interaction between RAN and importin-&#x3b2;. We showed that IPZ could have effects similar to those observed following <i>RAN</i> gene silencing. We also found that primary cell lines from one out of three MPM patients were sensitive to IPZ. As <i>EIF4G1</i> and <i>RAN</i> deserve further investigation with additional in vitro and in vivo studies, they emerged as promising CDGs, suggesting that their upregulation could play a role in mesothelial tumorigenesis and aggressiveness. Furthermore, present data propose the molecular pathways dependent on RAN as a putative pharmacological target for MPM patients in the view of a future personalized medicine.",2021,"EIF4G1; MPM; RAN; cancer driving gene; importazole; siRNA; Carcinogenesis; Cell Line, Tumor; Cell Proliferation; Epithelium; Eukaryotic Initiation Factor-4G; Gene Expression Regulation, Neoplastic; Humans; Mesothelioma, Malignant; Pleural Neoplasms; Quinazolines; RNA, Small Interfering; Small Molecule Libraries; beta Karyopherins; ran GTP-Binding Protein",2
36317529,RYR1,10.1161/CIRCULATIONAHA.121.058777,Hippo-Yap Signaling Maintains Sinoatrial Node Homeostasis.,"The sinoatrial node (SAN) functions as the pacemaker of the heart, initiating rhythmic heartbeats. Despite its importance, the SAN is one of the most poorly understood cardiac entities because of its small size and complex composition and function. The Hippo signaling pathway is a molecular signaling pathway fundamental to heart development and regeneration. Although abnormalities of the Hippo pathway are associated with cardiac arrhythmias in human patients, the role of this pathway in the SAN is unknown. We investigated key regulators of the Hippo pathway in SAN pacemaker cells by conditionally inactivating the Hippo signaling kinases <i>Lats1</i> and <i>Lats2</i> using the tamoxifen-inducible, cardiac conduction system-specific Cre driver <i>Hcn4<sup>CreERT2</sup></i> with <i>Lats1</i> and <i>Lats2</i> conditional knockout alleles. In addition, the Hippo-signaling effectors <i>Yap</i> and <i>Taz</i> were conditionally inactivated in the SAN. To determine the function of Hippo signaling in the SAN and other cardiac conduction system components, we conducted a series of physiological and molecular experiments, including telemetry ECG recording, echocardiography, Masson Trichrome staining, calcium imaging, immunostaining, RNAscope, cleavage under targets and tagmentation sequencing using antibodies against Yap1 or H3K4me3, quantitative real-time polymerase chain reaction, and Western blotting. We also performed comprehensive bioinformatics analyses of various datasets. We found that <i>Lats1/2</i> inactivation caused severe sinus node dysfunction. Compared with the controls, <i>Lats1/2</i> conditional knockout mutants exhibited dysregulated calcium handling and increased fibrosis in the SAN, indicating that <i>Lats1/2</i> function through both cell-autonomous and non-cell-autonomous mechanisms. It is notable that the <i>Lats1/2</i> conditional knockout phenotype was rescued by genetic deletion of <i>Yap</i> and <i>Taz</i> in the cardiac conduction system. These rescued mice had normal sinus rhythm and reduced fibrosis of the SAN, indicating that <i>Lats1/2</i> function through <i>Yap</i> and <i>Taz.</i> Cleavage Under Targets and Tagmentation sequencing data showed that Yap potentially regulates genes critical for calcium homeostasis such as <i>Ryr2</i> and genes encoding paracrine factors important in intercellular communication and fibrosis induction such as <i>Tgfb1</i> and <i>Tgfb3</i>. Consistent with this, <i>Lats1/2</i> conditional knockout mutants had decreased <i>Ryr2</i> expression and increased <i>Tgfb1</i> and <i>Tgfb3</i> expression compared with control mice. We reveal, for the first time to our knowledge, that the canonical Hippo-Yap pathway plays a pivotal role in maintaining SAN homeostasis.",2022,"Hippo signaling pathway; calcium homeostasis; fibrosis; sinus node dysfunction; transforming growth factor-&#x3b2;; Humans; Mice; Animals; Adaptor Proteins, Signal Transducing; Cell Cycle Proteins; Transforming Growth Factor beta3; Phosphoproteins; Sinoatrial Node; Calcium; Ryanodine Receptor Calcium Release Channel; Protein Serine-Threonine Kinases; Homeostasis; Fibrosis; Cell Proliferation; Tumor Suppressor Proteins",5
